Send to TA,Item,Qty ordered,QTY received?,QTY missing?,Comments,Dimms,Weight,BO text,Weight box,,Dimms box
,Tracking #: ,,,,,,,,,,
,,,,,,,,sdhfishfsdjfjs,,,
20,GW-T-Multi-Purpose Sewing Machine,54,54,0,,,,,,,
30,GW-T-Automatic Soap Dispenser,160,160,0,,,,,,,
30,GW-T-A4 Hot and Cold Laminator,80,80,0,,,,,,,
10,GW-T-Diffuser-Ebony,18,18,0,,,,,,,
10,GW-T-Diffuser-Colonial Maple,18,18,0,,,,,,,
20,GW-T-Paw patrol Figurines-GG005B,72,72,0,,,,,,,
20,GW-T-Paw patroller with figurines,48,48,0,,,,,,,
10,GW-T-Paw Patrol Lookout Tower,54,54,0,,,,,,,
10,GW-T-Luxury Bus,48,47,-1,,,,,,,
20,GW-T-Upside-down Umbrella-Blue/Black,48,48,0,,,,,,,
20,GW-T-Upside-down Umbrella-Yellow/Black,48,48,0,,,,,,,
20,GW-T-Smoke Detector Alarm,100,100,0,,,,,,,
,GW-T-Crimping Tool-RJ45 and RJ11,50,50,0,,,,,,,
10,GW-T-battery organizer,30,30,0,,,,,,,
40,GW-T-OBD2-USB,50,50,0,,,,,,,
20,GW-T-OBD2-Bluetooth,25,25,0,,,,,,,
30,GW-T-Silicone Suction Plate for Baby - Blue,60,60,0,,,,,,,
20,GW-T-Silicone Suction Plate for Baby - Lilac,30,30,0,,,,,,,
20,GW-T-Silicone Suction Plate for Baby - Light Pink,30,30,0,,,,,,,
20,GW-T-A4 Magnetic Photo Paper-5 Pack,60,60,0,,,,,,,
40,GW-T-Braai light,150,150,0,,,,,,,
50,GW-T-Wireless Door Chime,200,200,0,,,,,,,
5,GW-T-RC Gesture Stunt Car,12,12,0,,,,,,,
20,GW-T-Self Heating Lunchbox-Red,24,24,0,,,,,,,
20,GW-T-Self Heating Lunchbox-Blue,24,24,0,,,,,,,
10,GW-T-Fish feeder,24,24,0,,,,,,,
10,GW-T-Air corkscrew set,20,20,0,,,,,,,
15,GW-T-Car Reverse Camera Kit (Flush Mount),20,20,0,,,,,,,
15,GW-T-Car Reverse Camera Kit (Bracket Mount),20,20,0,,,,,,,
40,GW-T-Parking sensors- 4 sensor kit,48,48,0,,,,,,,
,GW-P-Exercise weights-5KG,6,0,-6,,,,,,,
,GW-P-Exercise weights-7.5KG,6,0,-6,,,,,,,
,GW-P-Exercise weights-10KG,8,0,-8,,,,,,,
,GW-P-Exercise weights-12.5KG,8,0,-8,,,,,,,
,GW-P-Exercise weights-15KG,4,0,-4,,,,,,,
,GW-P-Exercise weights-17.5KG,4,0,-4,,,,,,,
,GW-P-Exercise weights-25KG,2,0,-2,,,,,,,
,GW-P-Exercise weights-30KG,2,0,-2,,,,,,,
,GW-P-Exercise weights-40KG,2,0,-2,,,,,,,
,Exercise weights stand,2,0,-2,,,,,,,
30,GW-T-Inflatable mat (Whales),50,50,0,,,,,,,
30,GW-T-Baby Inflatable Water Mat,50,50,0,,,,,,,
Send in all popular variations,GW-T-Brother-1201-1,150,150,0,,,,,,,
,GW-DK1201 Standard Address Labels Holder 29mm × 90mm,120,120,0,,,,,,,
,GW-DK1204 Standard Address Labels Holder 17mm x 54mm,120,120,0,,,,,,,
Send in all popular variations,GW-T-Brother-1204-1,150,150,0,,,,,,,
,GW-DK1208 Standard Address Labels Holder 38mm × 90mm,60,60,0,,,,,,,
Send in all popular variations,GW-T-Brother-1208-1,75,75,0,,,,,,,
Send in all popular variations,GW-T-Brother-1209-1,75,75,0,,,,,,,
,GW-DK1209 Standard Address Labels Holder 29mm x 62mm,60,60,0,,,,,,,
Send in all popular variations,GW-T-Brother-2205-1,450,450,0,,,,,,,
,GW-DK22205 Standard Address Labels Holder 62mm × 30.48mm,350,350,0,,,,,,,
,GeeWiz branded accessory bags,21050,21050,0,,,,,,,
20,GW-T-75pc Kids Magic Set,48,48,0,,,,,,,
20,GW-T-top Hat Magic Set,24,24,0,,,,,,,
,GW-T-USB Led Bulb 5W,100,100,0,50 blue/50 red,,,,,,
20,GW-T-VGA to RCA,40,40,0,,,,,,,
50,GW-T-Kids Wrist Strap-Blue,100,100,0,,,,,,,
20,GW-T-Waterproof smartphone cover - Blue,30,30,0,,,,,,,
20,GW-T-Waterproof smartphone cover - Black,30,30,0,,,,,,,
20,GW-T-Waterproof smartphone cover - Clear,30,30,0,,,,,,,
10,GW-T-E-Table Black/White,30,30,0,,,,,,,
10,GW-T-Instant Hot Water Tap - Bottom Mountable Inlet,24,24,0,,,,,,,
10,GW-T-Instant Hot Water Tap - Bottom Mountable Inlet with shower,12,12,0,,,,,,,
12,GW-T-Milestone Blanket - Pink Roses,15,15,0,,,,,,,
12,GW-T-Milestone Blanket - Blue Roses,15,15,0,,,,,,,
12,GW-T-Milestone Blanket - Sunflower,15,15,0,,,,,,,
40,GW-T-Jade roller,50,50,0,,,,,,,
20,GW-T-K30 35 in 1 Gopro Kit,50,0,-50,,,,,,,
20,GW-T-K23 50 in 1 Gopro Kit,50,0,-50,,,,,,,
15,GW-T-Bubble Frog,48,48,0,,,,,,,
20,GW-T-Trampoline Sprinkler,50,50,0,,,,,,,
15,GW-T-Fire Hydrant sprinkler,36,36,0,,,,,,,
40,GW-T-Splash pad (Sea),80,80,0,,,,,,,
10,GW-T-Splash Pad (Beach),20,20,0,,,,,,,
20,GW-T-PJ Mask figurines and vehicles,48,48,0,,,,,,,
20,GW-T-PJ Mask figurine and vehicle- Catboy,40,40,0,,,,,,,
20,GW-T-PJ Mask figurine and vehicle- Owlette,40,40,0,,,,,,,
20,GW-T-PJ Mask figurine and vehicle- Gekko,40,40,0,,,,,,,
30,GW-T-PJ Mask 1139,72,72,0,To list?,,,,,,
,30m LED rope light (give to Ari),2,2,0,,,,,,,
2,GW-T-Stretch Couch Cover (Single Seater)-Dark Blue Retro,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (2x Seater)-Dark Blue Retro,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (3xSeater)-Dark Blue Retro,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (4x Seater)-Dark Blue Retro,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (Single Seater)-Light Blue,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (2x Seater)-Light Blue,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (3x Seater)-Light Blue,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (4x Seater)-Light Blue,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (Single Seater)-Dark Blue Rectangles,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (2x Seater)-Dark Blue Rectangles,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (3x Seater)-Dark Blue Rectangles,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (4x Seater)-Dark Blue Rectangles,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (Single Seater)-Retro,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (2x Seater)-Retro,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (3x Seater)-Retro,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (4x Seater)-Retro,5,5,0,,Takealot rcvd,GW dispatched,TTL,,,
10,GW-P-Kids Foldable and Adjustable Scooter-Red Airplane,18,18,0,,,,0,,,
10,GW-P-Kids Foldable and Adjustable Scooter-Numbers,18,18,0,,,,,,,
10,GW-P-Kids Foldable and Adjustable Scooter-Diamond,18,18,0,,,,,,,
8,GW-P-Kids Scooter with Seat - Orange/Turquoise,12,12,0,,,,,,,
8,GW-P-Kids Scooter with Seat - Light Blue/Royal Blue,12,12,0,,,,,,,
8,GW-P-Kids Scooter with Seat - Purple/Pink,12,12,0,,,,,,,
8,GW-P-Kids Scooter with Seat - Turquoise,12,12,0,,,,,,,
10,GW-P-Kids Scooter-Light Blue,18,18,0,,,,,,,
10,GW-P-Kids Scooter-Red,18,18,0,,,,,,,
10,GW-P-Kids Scooter-Light Pink,18,18,0,,,,,,,
10,GW-P-Kids Scooter-Steel-Red,12,12,0,,,,,,,
10,GW-P-Kids Scooter-Steel-Pink,12,12,0,,,,,,,
8,GW-P-Kids Scooter-Steel-Green,12,12,0,,,,,,,
8,GW-P-Kids Scooter-Steel-Blue,12,12,0,,,,,,,
10,GW-P-12 inch Kids Balance Bike-Black,25,25,0,,,,,,,
10,GW-P-12 inch Kids Balance Bike-Yellow,25,25,0,,,,,,,
10,GW-P-12 inch Kids Balance Bike-Red,25,25,0,,,,,,,
10,GW-P-12 inch Kids Balance Bike-Pink,25,25,0,,,,,,,
10,GW-P-12 inch Kids Balance Bike-Blue,25,25,0,,,,,,,
3,GW-T-Baby Balance Bike-Black,5,5,0,,,,,,,
3,GW-T-Baby Balance Bike-Yellow,5,5,0,,,,,,,
3,GW-T-Baby Balance Bike-Red,5,5,0,,,,,,,
3,GW-T-Baby Balance Bike-Blue,5,5,0,,,,,,,
3,GW-T-Baby Balance Bike-Pink,5,5,0,,,,,,,
30,GW-P-Kids trampoline ,100,100,0,,,,,,,