Model,Description,Long Description, price 
UB-AF 5G23 S45,"Ubiquiti airFiber X Antenna 5GHz, 23dBi Slant 45","Ubiquiti airFiber X Antenna 5GHz, 23dBi Slant 45","1,550.00"
UB-AF 5G30 S45,"Ubiquiti airFiber X Antenna 5GHz, 30dBi Slant 45","Ubiquiti airFiber X Antenna 5GHz, 30dBi Slant 45","2,063.06"
UB-AF 5XHD EU,Ubiquiti airFiber 5XHD,Ubiquiti airFiber 5XHD,"5,939.00"
UB-AM 5G20 90,"Ubiquiti 5 GHz airMAX 20 dBi, 90º BaseStation Sector Antenna","Ubiquiti 5 GHz airMAX 20 dBi, 90º BaseStation Sector Antenna","2,050.00"
UB-ER 12P EU,Ubiquiti EdgeRouter 12P,Ubiquiti EdgeRouter 12P,"5,540.14"
UB-ER RMKIT,Ubiquiti EdgeMAX Universal Rack-mount Kit,Ubiquiti EdgeMAX Universal Rack-mount Kit,245
UB-ER X EU,Ubiquiti EdgeRouter X,Ubiquiti EdgeRouter X,858
UB-ES 10XP 3 PACK,"Ubiquiti EdgeSwitch 10XP, 3 Pack","Ubiquiti EdgeSwitch 10XP, 3 Pack","2,202.00"
UB-ES 16 150W,Ubiquiti EdgeSwitch 16 (150W),Ubiquiti EdgeSwitch 16 (150W),"3,518.00"
UB-ES 8 150W,Ubiquiti EdgeSwitch 8 150W,Ubiquiti EdgeSwitch 8 150W,"3,518.00"
UB-ETH SP G2,Ubiquiti Ethernet Surge Protector,Ubiquiti Ethernet Surge Protector,210
UB-F POE G2,Ubiquiti Optical Data Transport for Outdoor POE Devices,Ubiquiti Optical Data Transport for Outdoor POE Devices,495
UB-LAP 120 EU,Ubiquiti LiteBeam 5AC AP,Ubiquiti LiteBeam 5AC AP,"1,450.00"
UB-LBE 5AC GEN2,Ubiquiti LiteBeam 5AC Gen2,Ubiquiti LiteBeam 5AC Gen2,"1,135.84"
UB-LBE M5 23,Ubiquiti LiteBeam M5,Ubiquiti LiteBeam M5,795
UB-LOCOM2,Ubiquiti NanoStation Loco M2,Ubiquiti NanoStation Loco M2,795
UB-NBE 5AC GEN2,Ubiquiti NanoBeam 5AC Gen2,Ubiquiti NanoBeam 5AC Gen2,"1,605.00"
UB-NBE M5 16,Ubiquiti NanoBeam M5 16,Ubiquiti NanoBeam M5 16,"1,095.00"
UB-NSM5,Ubiquiti NanoStation M5,Ubiquiti NanoStation M5,"1,425.00"
UB-PBE 5AC GEN2,Ubiquiti PowerBeam 5AC Gen2,Ubiquiti PowerBeam 5AC Gen2,"1,875.00"
UB-PBE M5 400,Ubiquiti PowerBeam M5 400,Ubiquiti PowerBeam M5 400,"1,576.27"
UB-POE 24 12W G,"Ubiquiti PoE Injector, 24VDC, 12W, Gbit","Ubiquiti PoE Injector, 24VDC, 12W, Gbit",178
UB-POE 24 24W G,"Ubiquiti PoE Injector, 24VDC, 24W, Gbit","Ubiquiti PoE Injector, 24VDC, 24W, Gbit",242
UB-POE 24 7W G WH,"Ubiquiti 24v PoE Injector, .3A, Gigabit, white","Ubiquiti 24v PoE Injector, .3A, Gigabit, white",90
UB-R5AC LITE,Ubiquiti Rocket 5AC Lite,Ubiquiti Rocket 5AC Lite,"2,175.00"
UB-RP 5AC GEN2,Ubiquiti Rocket 5AC Prism Gen2,Ubiquiti Rocket 5AC Prism Gen2,"4,218.85"
UB-U POE AF,Ubiquiti POE Injector 802.3af,Ubiquiti POE Injector 802.3af,139.08
UB-UAP AC LITE,Ubiquiti UniFi AC Lite,Ubiquiti UniFi AC Lite,"1,429.00"
UB-UAP AC LITE 5 PACK,"Ubiquiti UniFi AC Lite, 5 Pack","Ubiquiti UniFi AC Lite, 5 Pack","6,485.00"
UB-UAP AC LR,Ubiquiti UniFi AC LR,Ubiquiti UniFi AC LR,"1,759.00"
UB-UAP AC LR 5 PACK,Ubiquiti UniFi AC LR 5-Pack,Ubiquiti UniFi AC LR 5-Pack,"8,044.00"
UB-UAP AC HD,"Ubiquiti UniFi HD Wi-Fi Access Point, Indoor/Outdoor, 802.11","Ubiquiti UniFi HD Wi-Fi Access Point, Indoor/Outdoor, 802.11","5,430.00"
UB-UAP AC HD 5 PACK,"Ubiquiti UniFi HD Wi-Fi Access Point, Indoor/Outdoor, 802.12, 5 Pack","Ubiquiti UniFi HD Wi-Fi Access Point, Indoor/Outdoor, 802.12, 5 Pack","26,271.00"
UB-UAP AC M,Ubiquiti UniFi AC Mesh AP,Ubiquiti UniFi AC Mesh AP,"1,605.00"
UB-UAP AC M PRO,Ubiquiti UniFi AC Mesh Pro AP Beta,Ubiquiti UniFi AC Mesh Pro AP Beta,"3,195.00"
UB-UAP AC PRO,Ubiquiti UniFi AC Pro,Ubiquiti UniFi AC Pro,"2,495.00"
UB-UAP AC PRO 3 PACK,"Ubiquiti UniFi AC Pro, 3 Pack","Ubiquiti UniFi AC Pro, 3 Pack","6,859.00"
UB-UAP AC PRO 5 PACK,"Ubiquiti UniFi AC Pro, 5 Pack","Ubiquiti UniFi AC Pro, 5 Pack","12,054.00"
UB-UF MM 1G 2 PACK,"Ubiquiti SFP Modules Multimode 1G, 2 Pack","Ubiquiti SFP Modules Multimode 1G, 2 Pack",295
UB-UF MM 10G 20 PACK,"Ubiquiti U Fiber SFP+ (10Gbps) Modules, Multi-Mode Fiber, 20 Pack","Ubiquiti U Fiber SFP+ (10Gbps) Modules, Multi-Mode Fiber, 20 Pack","6,332.00"
UB-UF SM 1G S 2 PACK,"Ubiquiti SFP Modules Single Mode 1G, 2 Pack","Ubiquiti SFP Modules Single Mode 1G, 2 Pack",415
UB-UF SM 10G 20 PACK,"Ubiquiti U Fiber SFP+ (10Gbps) Modules, Single-Mode Fiber, 20 Pack","Ubiquiti U Fiber SFP+ (10Gbps) Modules, Single-Mode Fiber, 20 Pack","14,246.00"
UB-US 8 60W,"Ubiquiti UniFi Enterprise System, Managed Switch, 8xGb/Eth,","Ubiquiti UniFi Enterprise System, Managed Switch, 8xGb/Eth,","1,979.00"
UB-US 16 150W,Ubiquiti UniFi Switch 16 (150W),Ubiquiti UniFi Switch 16 (150W),"5,166.00"
UB-US 24 250W,Ubiquiti UniFi Switch 24 (250W),Ubiquiti UniFi Switch 24 (250W),"6,995.00"
UB-US 48 500W,Ubiquiti UniFi Switch 48 (500W),Ubiquiti UniFi Switch 48 (500W),"13,837.00"
UB-USG,Ubiquiti UniFi Security Gateway,Ubiquiti UniFi Security Gateway,"1,957.00"
UB-USG PRO 4,Ubiquiti UniFi Security Gateway Pro,Ubiquiti UniFi Security Gateway Pro,"4,795.00"
UB-UVC G3 BULLET,Ubiquiti UniFi Video Camera G3 Bullet,Ubiquiti UniFi Video Camera G3 Bullet,"2,650.00"
UB-UVC G3 DOME,Ubiquiti UniFi Video Camera G3 Dome,Ubiquiti UniFi Video Camera G3 Dome,"2,650.00"
UB-UCK G2 PLUS,"Ubiquiti UniFi Cloud Key Gen2 Plus, UniFi Network Controller","Ubiquiti UniFi Cloud Key Gen2 Plus, UniFi Network Controller","3,518.00"
UB-UCK G2,"Ubiquiti UniFi Cloud Key Gen2, UniFi Network Controller","Ubiquiti UniFi Cloud Key Gen2, UniFi Network Controller","3,144.00"
2N-9155101C,2N® Helios IP Verso - Main unit with camera,2N® Helios IP Verso - Main unit with camera,"14,817.00"
2N-9155022,"2N® Helios IP Verso - Frame for surface installation, 2 modules","2N® Helios IP Verso - Frame for surface installation, 2 modules","1,030.00"
2N-9155062,2N® Helios IP Verso - backplate for 2 modules,2N® Helios IP Verso - backplate for 2 modules,"1,091.00"
2N-9155101,2N® Helios IP Verso - Main unit without camera,2N® Helios IP Verso - Main unit without camera,"7,878.00"
2N-9155022,"2N® Helios IP Verso - Frame for surface installation, 2 modules","2N® Helios IP Verso - Frame for surface installation, 2 modules","1,030.00"
2N-9155062,2N® Helios IP Verso - backplate for 2 modules,2N® Helios IP Verso - backplate for 2 modules,"1,091.00"
2N-9155401C-E,"2N® LTE Verso - Main unit with camera, nickel, EU LTE","2N® LTE Verso - Main unit with camera, nickel, EU LTE","17,392.00"
2N-9155022,"2N® Helios IP Verso - Frame for surface installation, 2 modules","2N® Helios IP Verso - Frame for surface installation, 2 modules","1,030.00"
2N-9155062,2N® Helios IP Verso - backplate for 2 modules,2N® Helios IP Verso - backplate for 2 modules,"1,091.00"
2N-9155101C,2N® Helios IP Verso - Main unit with camera,2N® Helios IP Verso - Main unit with camera,"14,817.00"
2N-9155012,"2N® Helios IP Verso - Frame for flush installation, 2 modules (must be together with 9155015)","2N® Helios IP Verso - Frame for flush installation, 2 modules (must be together with 9155015)","1,454.00"
2N-9155015,"2N® Helios IP Verso - Box for  flush installation, 2 modules (must be together with 9155012)","2N® Helios IP Verso - Box for  flush installation, 2 modules (must be together with 9155012)",545
2N-9155101,2N® Helios IP Verso - Main unit without camera,2N® Helios IP Verso - Main unit without camera,"7,878.00"
2N-9155012,"2N® Helios IP Verso - Frame for flush installation, 2 modules (must be together with 9155015)","2N® Helios IP Verso - Frame for flush installation, 2 modules (must be together with 9155015)","1,454.00"
2N-9155015,"2N® Helios IP Verso - Box for  flush installation, 2 modules (must be together with 9155012)","2N® Helios IP Verso - Box for  flush installation, 2 modules (must be together with 9155012)",545
2N-9155401C-E,"2N® LTE Verso - Main unit with camera, nickel, EU LTE","2N® LTE Verso - Main unit with camera, nickel, EU LTE","17,392.00"
2N-9155012,"2N® Helios IP Verso - Frame for flush installation, 2 modules (must be together with 9155015)","2N® Helios IP Verso - Frame for flush installation, 2 modules (must be together with 9155015)","1,454.00"
2N-9155015,"2N® Helios IP Verso - Box for  flush installation, 2 modules (must be together with 9155012)","2N® Helios IP Verso - Box for  flush installation, 2 modules (must be together with 9155012)",545
2N-9155036,2N® Helios IP Verso - Touch display module,2N® Helios IP Verso - Touch display module,"12,181.00"
2N-9155045,2N® Helios IP Verso - Fingerprint reader (external fingerprint reader = 9137423E needed for installation),2N® Helios IP Verso - Fingerprint reader (external fingerprint reader = 9137423E needed for installation),"8,484.00"
2N-9155046,2N® Helios IP Verso - Bluetooth module,2N® Helios IP Verso - Bluetooth module,"4,606.00"
2N-9155035,2N® Helios IP Verso - 5 buttons module,2N® Helios IP Verso - 5 buttons module,"1,636.00"
2N-9155031,2N® Helios IP Verso - Keypad module,2N® Helios IP Verso - Keypad module,"3,818.00"
2N-9155031B,2N® Helios IP Verso - Keypad module - black,2N® Helios IP Verso - Keypad module - black,"3,818.00"
2N-9155030,2N® Helios IP Verso - Infopanel,2N® Helios IP Verso - Infopanel,"1,485.00"
2N-9155032,2N® Helios IP Verso - 125kHz RFID card reader,2N® Helios IP Verso - 125kHz RFID card reader,"2,121.00"
2N-9155040,2N® Helios IP Verso - 13.56MHz smart card RFID reader NFC ready ,2N® Helios IP Verso - 13.56MHz smart card RFID reader NFC ready ,"3,303.00"
2N-9155041,2N® Helios IP Verso - Induction loop,2N® Helios IP Verso - Induction loop,"3,212.00"
2N-9155044,2N® Helios IP Verso - Vigik module,2N® Helios IP Verso - Vigik module,"3,878.00"
2N-9155034,2N® Helios IP Verso - I\O modul ,2N® Helios IP Verso - I\O modul ,788
2N-9155081,"2N® IP Verso - Touch keypad & RFID reader (125kHz, 13,56MHz, NFC)","2N® IP Verso - Touch keypad & RFID reader (125kHz, 13,56MHz, NFC)","7,030.00"
2N-9155082,"2N® IP Verso - Bluetooth & RFID reader (125kHz, 13,56MHz, NFC)","2N® IP Verso - Bluetooth & RFID reader (125kHz, 13,56MHz, NFC)","8,423.00"
2N-9155083,"2N® IP Verso - Touch keypad & RFID reader (125kHz, secured 13,56MHz, NFC)","2N® IP Verso - Touch keypad & RFID reader (125kHz, secured 13,56MHz, NFC)","8,090.00"
2N-9155084,"2N® IP Verso - Bluetooth & RFID reader (125kHz, secured 13,56MHz, NFC)","2N® IP Verso - Bluetooth & RFID reader (125kHz, secured 13,56MHz, NFC)","9,484.00"
2N-9155021,"2N® Helios IP Verso - Frame for surface installation, 1 module","2N® Helios IP Verso - Frame for surface installation, 1 module",879
2N-9155023,"2N® Helios IP Verso - Frame for surface installation, 3 modules","2N® Helios IP Verso - Frame for surface installation, 3 modules","1,212.00"
2N-9155021B,"2N® Helios IP Verso - Frame for surface installation, 1 module - black","2N® Helios IP Verso - Frame for surface installation, 1 module - black",879
2N-9155022B,"2N® Helios IP Verso - Frame for surface installation, 2 modules - black","2N® Helios IP Verso - Frame for surface installation, 2 modules - black","1,030.00"
2N-9155023B,"2N® Helios IP Verso - Frame for surface installation, 3 modules - black","2N® Helios IP Verso - Frame for surface installation, 3 modules - black","1,212.00"
2N-9155011,"2N® Helios IP Verso - Frame for flush installation, 1 module (must be together with 9155014)","2N® Helios IP Verso - Frame for flush installation, 1 module (must be together with 9155014)","1,303.00"
2N-9155011B,"2N® Helios IP Verso - Frame for flush installation, 1 module - black (must be together with 9155014) ","2N® Helios IP Verso - Frame for flush installation, 1 module - black (must be together with 9155014) ","1,303.00"
2N-9155014,"2N® Helios IP Verso - Box for flush installation, 1 module (must be together with 9155011 or 9155011B)  ","2N® Helios IP Verso - Box for flush installation, 1 module (must be together with 9155011 or 9155011B)  ",424
2N-9155013,"2N® Helios IP Verso - Frame for flush installation, 3 modules (must be together with 9155016)","2N® Helios IP Verso - Frame for flush installation, 3 modules (must be together with 9155016)","1,576.00"
2N-9155013B,"2N® Helios IP Verso - Frame for flush installation, 3 modules - black (must be together with 9155016)","2N® Helios IP Verso - Frame for flush installation, 3 modules - black (must be together with 9155016)","1,576.00"
2N-9155016,"2N® Helios IP Verso - Box for flush installation, 3 modules (must be together with 9155013 or 9155013B)","2N® Helios IP Verso - Box for flush installation, 3 modules (must be together with 9155013 or 9155013B)",636
2N-9155061,2N® Helios IP Verso - backplate for 1 module,2N® Helios IP Verso - backplate for 1 module,939
2N-9155063,2N® Helios IP Verso - backplate for 3 modules,2N® Helios IP Verso - backplate for 3 modules,"1,273.00"
2N-9159010,2N® Helios IP- Security relay,2N® Helios IP- Security relay,"1,727.00"
2N-9156111CB,"2N® Helios IP Base with camera, black frame","2N® Helios IP Base with camera, black frame","10,847.00"
2N-9156030,2N® Helios IP Base - 125kHz RFID card reader,2N® Helios IP Base - 125kHz RFID card reader,"1,485.00"
2N-9156031,"2N® Helios IP Base - 13.56MHz RFID card reader, reads UID","2N® Helios IP Base - 13.56MHz RFID card reader, reads UID","2,697.00"
2N-9156020,2N® Helios IP Base - backplate,2N® Helios IP Base - backplate,"1,151.00"
2N-9151101W,2N® Helios IP Force - 1 button & 10W speaker,2N® Helios IP Force - 1 button & 10W speaker,"13,756.00"
2N-9151104W ,2N® Helios IP Force - 4 buttons & 10W speaker,2N® Helios IP Force - 4 buttons & 10W speaker,"14,847.00"
2N-9151101KW,2N® Helios IP Force - 1 button & keypad & 10W speaker,2N® Helios IP Force - 1 button & keypad & 10W speaker,"14,877.00"
2N-9151102RW,2N® Helios IP Force - 2 buttons (card reader ready) & 10W speaker,2N® Helios IP Force - 2 buttons (card reader ready) & 10W speaker,"14,877.00"
2N-9151101RPW,"2N® Helios IP Force - 1 button, pictograms, 10W speaker (card reader ready)","2N® Helios IP Force - 1 button, pictograms, 10W speaker (card reader ready)","15,423.00"
2N-9151104CW ,2N® Helios IP Force - 4 button & camera & 10W speaker,2N® Helios IP Force - 4 button & camera & 10W speaker,"17,877.00"
2N-9151102CRW,2N® Helios IP Force - 2 buttons & camera (card reader ready) & 10W speaker,2N® Helios IP Force - 2 buttons & camera (card reader ready) & 10W speaker,"18,059.00"
2N-9151101CKW,2N® Helios IP Force - 1 button & camera & keypad & 10W speaker,2N® Helios IP Force - 1 button & camera & keypad & 10W speaker,"18,089.00"
2N-9151101CRPW,"2N® Helios IP Force - 1 button, camera, pictograms, 10W speaker (card reader ready)","2N® Helios IP Force - 1 button, camera, pictograms, 10W speaker (card reader ready)","18,725.00"
2N-9151101CHKW,2N® Helios IP Force - 1 button & HD camera & keypad & 10W speaker,2N® Helios IP Force - 1 button & HD camera & keypad & 10W speaker,"19,028.00"
2N-9151102CHRW,2N® Helios IP Force - 2 buttons & HD camera (card reader ready) & 10W speaker,2N® Helios IP Force - 2 buttons & HD camera (card reader ready) & 10W speaker,"19,028.00"
2N-9151101CW,2N® Helios IP Force - 1 button & camera & 10W speaker,2N® Helios IP Force - 1 button & camera & 10W speaker,"13,759.00"
2N-9151101CHRPW,"2N® Helios IP Force - 1 button, HD camera, pictograms, 10W speaker (card reader ready)","2N® Helios IP Force - 1 button, HD camera, pictograms, 10W speaker (card reader ready)","19,665.00"
2N-9151001,2N® Brick flush mounting box (for Helios IP Force/Safety),2N® Brick flush mounting box (for Helios IP Force/Safety),"1,576.00"
2N-9151002,2N® Plasterboard flush mounting board (for Helios IP Force/Safety),2N® Plasterboard flush mounting board (for Helios IP Force/Safety),"1,303.00"
2N-9152000,2N® Helios IP Safety - metal frame (Orange color),2N® Helios IP Safety - metal frame (Orange color),515
2N-9137905,2N® Helios IP License - Enhanced Audio,2N® Helios IP License - Enhanced Audio,"1,000.00"
2N-9137906,2N® Helios IP License - Enhanced Video,2N® Helios IP License - Enhanced Video,"1,576.00"
2N-9137907,2N® Helios IP License - Enhanced Integration,2N® Helios IP License - Enhanced Integration,"1,000.00"
2N-9137908,2N® Helios IP License - Enhanced Security,2N® Helios IP License - Enhanced Security,"1,576.00"
2N-9137909,2N® Helios IP License - Gold License,2N® Helios IP License - Gold License,"3,848.00"
2N-9137915,2N® Helios IP License - NFC License,2N® Helios IP License - NFC License,303
2N-9137910,2N® Helios IP License - Informacast License,2N® Helios IP License - Informacast License,"1,000.00"
2N-914407E,2N® SIP Speaker license - Informacast License,2N® SIP Speaker license - Informacast License,"1,000.00"
2N-914401E,2N® SIP Audio Converter,2N® SIP Audio Converter,"6,090.00"
2N-914490E,2N® SIP Audio Converter set with Speaker and Mic,2N® SIP Audio Converter set with Speaker and Mic,"4,727.00"
2N-914421B,"2N® SIP Speaker, Wall Mounted","2N® SIP Speaker, Wall Mounted","7,181.00"
2N-914431E ,2N® SIP Mic organic,2N® SIP Mic organic,"14,999.00"
2N-914422E,"2N® SIP Speaker, Horn ","2N® SIP Speaker, Horn ","9,363.00"
2N-914423E,"2N® SIP Speaker Horn, Power supply 24V","2N® SIP Speaker Horn, Power supply 24V","1,061.00"
2N-916019,2N® Access Unit - Fingerprint reader (external fingerprint reader = 9137423E needed for installation),2N® Access Unit - Fingerprint reader (external fingerprint reader = 9137423E needed for installation),"10,454.00"
2N-916016,2N® Access Unit - Touch keypad,2N® Access Unit - Touch keypad,"5,272.00"
2N-916009,2N® Access Unit - 125kHz,2N® Access Unit - 125kHz,"5,909.00"
2N-916010,2N® Access Unit - 13.56MHz cards NFC ready,2N® Access Unit - 13.56MHz cards NFC ready,"5,909.00"
2N-916013,2N® Access Unit - Bluetooth,2N® Access Unit - Bluetooth,"7,211.00"
2N-916012,2N® Access Unit - NFC license,2N® Access Unit - NFC license,394
2N-9137423E,2N® Helios IP - external fingerprint reader (USB interface),2N® Helios IP - external fingerprint reader (USB interface),"3,939.00"
2N-9137422E,2N® Helios IP - external Bluetooth reader (USB interface),2N® Helios IP - external Bluetooth reader (USB interface),545
2N-9137420E,2N® External RFID Reader 125kHz EMarine (USB interface),2N® External RFID Reader 125kHz EMarine (USB interface),"1,000.00"
2N-9137421E,2N® External RFID Reader 13.56MHz (USB interface),2N® External RFID Reader 13.56MHz (USB interface),"3,666.00"
2N-9159030,"2N® External 125 kHz EMarine RFID card reader, Wiegand","2N® External 125 kHz EMarine RFID card reader, Wiegand","1,576.00"
2N-9159031,"2N® External 13.56MHz Mifare RFID card reader, Wiegand","2N® External 13.56MHz Mifare RFID card reader, Wiegand","1,576.00"
2N-9134165E,2N® EMarine RFID card 125 kHz,2N® EMarine RFID card 125 kHz,61
2N-9134166E,2N® EMarine RFID key fob 125 kHz,2N® EMarine RFID key fob 125 kHz,61
2N-9134173,2N® Mifare RFID card 13.56MHz,2N® Mifare RFID card 13.56MHz,61
2N-9134174,2N® Mifare RFID key fob 13.56MHz,2N® Mifare RFID key fob 13.56MHz,61
