Model,Description,Long Description, price 
YL-CP930WP,Yealink CP930W Package,"Yealink Dect Conference phone with built in battery with PSU, with W60B","7,133.00"
YL-CP960,Yealink CP960,Yealink IP Conference Phone Without Expansion Microphones,"7,133.00"
YL-CP900B,Yealink CP900 with Bluetooth,"Yealink Wireless Speaker with 6 Micpods, with BT50, 12 hour talk time, 450 days standby time","2,513.00"
YL-CP700B,Yealink CP700 with Bluetooth usb,"Yealink Wireless Speaker with 2 Micpods, with BT50, 12 hour talk time, 450 days standby time","1,921.00"
YL-CP700,Yealink CP700,"Yealink Wireless Speaker with 2 Micpods, without BT50,12 hour talk time, 450 days standby time","1,570.00"
YL-CP900,Yealink CP900,"Yealink Wireless Speaker with 6 Micpods, wihtout Bluetooth,12 hour talk time, 450 days standby time","2,162.00"
YL-CPE90,Yealink CPE90,Yealink CP960 Wired Expansion Microphones,"1,182.00"
YL-CPW90,Yealink CPW90,Yealink CP960 Expansion Microphones,"2,383.00"
YL-CPN10,Yealink CPN10,Analogue to IP converter,240
YL-BT50,Yealink BT50,Yealink Bluetooth Adaptor for CP900,351
YL-YLPOE30,Yealink YLPOE30,Yealink POE Adapter,480
YL-T21 E2,Yealink T21 E2,"Entry Level IP Phone, 2 Voip Accounts, 2 x RJ45, HD Voice,  power supply included",757
YL-T21P E2,Yealink T21P E2,"Entry Level IP Phone, 2 Voip Accounts, 2 x RJ45, HD Voice, POE, no power supply",813
YL-T23G,Yealink T23G,"Professional IP Phone Gigabit, 3 Voip Accounts, 2 x RJ45, HD Voice, POE, no power supply",960
YL-T27G,Yealink T27G,"Advanced IP Phone, 3 Voip Accounts, 2 x RJ45, HD Voice, POE, no power supply","1,589.00"
YL-T29G,Yealink T29G,"Reception IP Phone, 6 Voip Accounts, 2 x RJ45, HD Voice, POE, no power supply","2,254.00"
YL-EXP20,Yealink EXP20 Expansion Module,"20 programmable keys (max 6 modules per phone) for T27P, T29G","1,663.00"
YL-T40P,Yealink T40P,"Professional IP Phone, 3 Voip Accounts, 2 x RJ45, HD Voice, POE, no power supply",850
YL-T40G,Yealink T40G,"Professional Gigabit IP Phone, 3 Voip Accounts, 2 x RJ45, HD Voice, POE, no power supply",997
YL-T41S,Yealink T41S,"Executive IP Phone, 3 Voip Accounts, 2 x RJ45, HD Voice, POE, no PSU","1,238.00"
YL-T42S,Yealink T42S,"Gigabit Executive IP Phone, 3 Voip Accounts, 2 x RJ45, HD Voice, POE, no PSU","1,552.00"
YL-T46S,Yealink T46S,"Gigabit Executive Colour Screen IP Phone, 6 Voip Accounts, 2 x RJ45, HD Voice, POE, no PSU","2,254.00"
YL-T48S,Yealink T48S,"Gigabit Executive Colour Screen IP Phone, 6 Voip Accounts, 2 x RJ45, HD Voice, POE, no PSU","2,919.00"
YL-EXP40,Yealink EXP40 Expansion Module,20 programmable keys LCD Screen for T4 Series ,"1,182.00"
YL-VP59,Yealink VP59,"Flagship smart video phone,8” 1280x800-pixel color touch display, fully adjustable,1080p HD business video,27 touch memory keys, 16 SIP accounts,HDMI output,Call recording and wireless USB headset support.","7,854.00"
YL-T58A,Yealink T58A,"Android 7"" Adjustable, Touch Screen Video Phone(excl CAM50), 16 Voip Accounts, Built in Bluetooth and WiFi POE,USB, no PSU","4,287.00"
YL-T57W,Yealink T57W,"Premium-level phone, 7”color touch display, fully adjustable, 29 touch keys, 16 SIP accounts, Built-in Bluetooth, Wi-Fi,Dual-port Gigabit Ethernet,1xUSB","3,806.00"
YL-T54W,Yealink T54W,"Mid-level phone,4.3"" color display, fully adjustable,10 line keys, 16 SIP accounts, 27 memory keys,Built-in Bluetooth, Wi-Fi,Dual-port Gigabit Ethernet,1xUSB","2,735.00"
YL-T53W,Yealink T53W,"Entry-level phone, 3.7"" display, fully adjustable. 8 line keys, 12 SIP accounts, 21 memory keys,Dual-port Gigabit Ethernet,1 USB,Built-in Bluetooth, Wi-Fi","2,088.00"
YL-T53,Yealink T53,"Entry-level phone, 3.7"" display, fully adjustable, 8 line keys, 12 SIP accounts, 21 memory keys,Dual-port Gigabit Ethernet,1 USB","1,829.00"
YL-EXP50,Yealink EXP50 Expansion Module,"20 programmable keys per page, Colour Screen for T5 Android Series 3 pages","1,663.00"
YL-CAM50,Yealink CAM50 Camera,720p Camera for the T58A,"1,182.00"
YL-T55A,Yealink T55A,"SFB/Teams Only,
• Optima HD voice, HAC Handset
• 4.3"" 480 x 272 capacitive touch screen
• Yealink Noise Proof Technology
• 1 USB 2.0 port for USB headsets, Bluetooth dongle and Wi-Fi dongle
• Dual-port Gigabit Ethernet, PoE support
• Wall mountable
• Based on Android OS, upgradability of firmware to Teams or SfB edition
*Flexible upgradability of device applications for Teams or SfB users.","2,624.00"
YL-T56A,Yealink T58A,"SFB/Teams Only, Optima HD voice, HAC Handset. 7"" 1024 x 600 capacitive touch screen. Yealink Noise Proof Technology. 1 USB 2.0 port for USB headsets, Bluetooth dongle and Wi-Fi dongle. Dual-port Gigabit Ethernet, PoE support. Supports expansion modules (Only for Skype for Business). Based on Android OS, upgradability of firmware to Teams or SfB edition. Flexible upgradability of device applications for Teams or SfB users","3,806.00"
YL-T58A,Yealink T58A,"Android  7"" Adjustable, Touch Screen Video Phone(excl CAM50), 16 Voip Accounts, Built in Bluetooth and WiFi POE,USB, no PSU","4,287.00"
YL-VP59,Yealink VP59,"Flagship smart video phone,8” 1280x800-pixel color touch display, fully adjustable,1080p HD business video,27 touch memory keys, 16 SIP accounts,HDMI output,Call recording and wireless USB headset support.","7,854.00"
YL-CP960 TEAMS,Yealink CP960 Teams,Yealink IP Conference Phone Without Expansion Microphones,"7,133.00"
YL-MVC800,Yealink MVC800,Mini-PC and cable management box. Yealink MTouch touch console. Yealink MShare for content sharing. UVC80 USB PTZ camera. 1×VCM34 array microphone. Yealink MSpeaker soundbar,"49,969.00"
YL-MVC500 Wired,Yealink MVC500 wired,Mini-PC and cable management box. Yealink MTouch touch console. Yealink MShare for content sharing. UVC50 USB PTZ camera. 1×VCM34 array microphone. Yealink MSpeaker soundbar,"42,836.00"
YL-MVC500 Wireless,Yealink MVC500-wireless,Mini-PC and cable management box. Yealink MTouch touch console. Yealink MShare for content sharing. UVC50 USB PTZ camera. 2×Wireless CPW90 DECT microphones.Yealink MSpeaker soundbar,"40,452.00"
YL-MVC300,Yealink MVC300,"Mini-PC and cable management box
• Yealink MTouch touch console
• Yealink MShare for content sharing
• UVC30 USB PTZ camera
• CP900B","34,502.00"
YL-VC210 CP900 TEAMS,Yealink VC210-CP900-TEAMS,"
• VC210 USB PTZ camera
• CP900B","17,851.00"
YL-W80B,Yealink W80B,Yealink multi-cell base station,"3,215.00"
YL-W80DM,Yealink W80DM,Yealink Multicell Base manager(1 needed per site),"3,215.00"
YL-MC KIT,Yealink MCkit,Multi-cell deployment test kit,"8,334.00"
YL-W60B,Yealink Dect W60B,Dect Solution Base  - 8 handset registrations with 8 concurrent Voip calls,720
YL-W41P PT 1,Yealink Dect W41P,"DECT Deskphone Solution including W60B, SIP-T41S and DD10K DECT Dongle","2,180.00"
YL-W52P,Yealink Dect W52P,Dect Solution Base + Handset - 5 handset registrations with 4 concurrent Voip calls,"1,459.00"
YL-W52H,Yealink Dect W52H,Additional Handset for W52P,960
YL-W53P,Yealink Dect W53P,Dect Solution Base + W53 Handset - 8 handset registrations with 8 concurrent Voip calls,"1,496.00"
YL-W53H,Yealink Dect W53H,Additional Handset for W53P,"1,016.00"
YL-W53H COVER,Yealink W53H protective cover,Yealink W53H Protective Case,240
YL-W60P,Yealink Dect W60P,Dect Solution Base + W56 Handset - 8 handset registrations with 8 concurrent Voip calls,"1,663.00"
YL-W59R,Yealink W59R,Ruggedized DECT Handset for W60B and W80B,"2,014.00"
YL-W56H,Yealink Dect W56H,Additional Handset for W56P,"1,182.00"
YL-W56H COVER,Yealink W56H protective cover,Yealink W56H Protective Case ,110
YL-DD10K,Yealink DD10K,"Dect USB Dongle, T41S/T42S/T56A/T58A",240
YL-RT30,Yealink RT30,DECT Phone Repeater for W52P,"1,663.00"
YL-W53H B,Yealink W53H battery,Battery for the W53 Handset,166
YL-W56H B,Yealink W56H Battery,Battery for the W56 Handset,221
YL-YHS33,Yealink YHS33 Headset,RJ9 Monaural noice cancelling headset for Yealink phones,369
YL-UH33,Yealink UH33 headset,USB and 3.5 mm Monaural noice cancelling headset for Yealink phones,517
YL-UH36 DUO,Yealink UH36 Dual headset,"Yealink UH36-DUO, Midlevel USB headset Duo",960
YL-UH36 DUO TEAMS,Yealink UH36 Dual headset Teams,"Yealink UH36-DUO, Midlevel USB headset Duo, Teams",960
YL-UH36 MONO,Yealink UH36 Mono headset,"Yealink UH36-MONO, Midlevel USB headset Mono",757
YL-UH36 MONO TEAMS,Yealink UH36 Mono headset Teams,"Yealink UH36-MONO, Midlevel USB headset Mono, Teams",757
YL-BT41,Yealink BT41,IP phone Bluetooth USB Dongle  replacing BT40,332
YL-WF40,Yealink WF40,IP phone Wifi USB Dongle,332
YL-WF50,Yealink WF50,"Yealink Advanced Wifi Dual band USB Dongle, T41S/T42S/T46S/T48S/T54S",425
YL-EHS36,Yealink EHS36,Yealink Wireless Headset Adapter,443
YL-EHS40,Yealink EHS40,Yealink Wireless Headset Adapter,443
YL-HAN,Yealink Handset ,"Yealink Handset for T2xx, T3xx, T4xx",92
YL-PSUT21P,Yealink PSU-600. MA,"Compatible With : T21P, T21, T23G",46
YL-PSUT2X,Yealink PSU-1.2A,"Compatible With :  Yealink T26P, T27P, T22P, T28P, T41P",46
YL-PSUT4XX,Yealink PSU-Gigabit,"Compatible With:  T29G, T32G,T48G, T42G, T46G, T32G, T38G",120
YL-CURL,Yealink Curly Cord,Yealink Curly Cord,14
YL-YDMP 1000,YEA-YDMP-1000,Yealink Device Management Platform Software Package 50 - 1000 devices (on premises),39
YL-YMCS BP1000,Yealink YMCS- Basic Package <1000,Yealink Management Cloud Service Basic <1000 devices(Cloud), Fee 3 yea 
YL-YMCS BP5000,Yealink YMCS- Basic Package 1000<5000,Yealink Management Cloud Service Basic 1000<5000 devices(Cloud),50.29
YL-YMCS BP5000+,Yealink YMCS- Basic Package 5000<,Yealink Management Cloud Service Basic 5000< devices(Cloud),42.74
YL-YMCS AP1000,Yealink YMCS- Advanced Package <1000,Yealink Management Cloud Service Advanced <1000 devices(Cloud), Fee 3 yea 
YL-YMCS AP5000,Yealink YMCS- Advanced Package 1000<5000,Yealink Management Cloud Service Advanced 1000<5000 devices(Cloud),98.06
YL-YMCS AP5000+,Yealink YMCS- Advanced Package 5000<,Yealink Management Cloud Service Advanced 5000< devices(Cloud),80.46
YL-T56A EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,380
YL-T58A EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,428
YL-T40P EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,85
YL-T40G EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,99
YL-T41S EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,123
YL-T42S EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,155
YL-T46S EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,225
YL-T48S EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,291
YL-W52P EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,145
YL-W52H EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,96
YL-W53P EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,149
YL-W53H EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,101
YL-W60P EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,166
YL-W56H EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,118
YL-T21 E2 EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,75
YL-T21P E2 EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,81
YL-T23G EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,96
YL-T27G EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,158
YL-T29G EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,225
YL-CP920 EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,476
YL-CP960 EXT,1 Year Extended Warranty ,1 Year Extended Warranty ,713
YR-YSCloud Extension,Yeastar Cloud BPX Extension (1 Fee Concurrency with every 4 Extensions purchased),Yeastar Cloud BPX Extension (1 Fee Concurrency with every 4 Extensions purchased),30
YR-YSCloud Channel,Yeastar Additional Call Concurrency,Yeastar Additional Call Concurrency,30
YR-YSCloud Rec500,Yeastar Cloud Recording 500 Minutes,Yeastar Cloud Recording 500 Minutes,9
YR-S20,"Yeastar S20 IP PBX  20user, 10channel","Yeastar S20 IP PBX  20user, 10channel","2,395.00"
YR-S50,"Yeastar S50 IP PBX  50user, 25channel","Yeastar S50 IP PBX  50user, 25channel","6,495.00"
YR-S100,"Yeastar S100 IP PBX 100user, 30channel","Yeastar S100 IP PBX 100user, 30channel","7,495.00"
YR-S300,"Yeastar S300 IP PBX 300user, 60channel","Yeastar S300 IP PBX 300user, 60channel","14,995.00"
YR-S412,"Yeastar S412 IP PBX  20user, 8channel, 8FXS","Yeastar S412 IP PBX  20user, 8channel, 8FXS","2,990.00"
YR-K2SOFT,"Yeastar K2 Software - IP PBX 2000user, 500channel","Yeastar K2 Software - IP PBX 2000user, 500channel","121,958.00"
YR-K2RD,Yeastar K2 Redundancy Software,Yeastar K2 Redundancy Software,"73,189.00"
YR-K2BILL,Yeastar K2 Billing Application License,Yeastar K2 Billing Application License,"11,959.00"
YR-K2AM,Yeastar K2 Annual Maintenace (Applicable from Year 2 onwards),Yeastar K2 Annual Maintenace (Applicable from Year 2 onwards),"24,392.00"
YR-K2AMSRD,Yeastar K2 Annual Maintenace Redundancy (Applicable from Year 2 onwards),Yeastar K2 Annual Maintenace Redundancy (Applicable from Year 2 onwards),"14,638.00"
YR-K2LITE SOFT,"Yeastar K2LITE Software - IP PBX 1000user, 250channel","Yeastar K2LITE Software - IP PBX 1000user, 250channel","57,379.00"
YR-K2LITE RD,Yeastar K2LITE Redundancy Software,Yeastar K2LITE Redundancy Software,"34,418.00"
YR-K2LITE BILL,Yeastar K2LITE Billing Application License,Yeastar K2LITE Billing Application License,"11,959.00"
YR-K2LITE AM,Yeastar K2LITE Annual Maintenace (Applicable from Year 2 onwards),Yeastar K2LITE Annual Maintenace (Applicable from Year 2 onwards),"11,476.00"
YR-K2LITE AMSRD,Yeastar K2LITE Annual Maintenace Redundancy (Applicable from Year 2 onwards),Yeastar K2LITE Annual Maintenace Redundancy (Applicable from Year 2 onwards),"6,884.00"
YR-K2SERV,Yeastar Server for K2/K2LITE,Yeastar Server for K2/K2LITE,"47,836.00"
YR-K2PSU,Yeastar Server Power Supply,Yeastar Server Power Supply,"57,403.00"
YR-TG100G,"Yeastar TG100, 1 Port GSM Gateway","Yeastar TG100, 1 Port GSM Gateway","2,153.00"
YR-TG200G,"Yeastar TG200G, 2 Port GSM Gateway","Yeastar TG200G, 2 Port GSM Gateway","3,827.00"
YR-TG400G,"Yeastar TG400G, 4 Port GSM Gateway","Yeastar TG400G, 4 Port GSM Gateway","7,175.00"
YR-TG800G,"Yeastar TG800G, 8 Port GSM Gateway","Yeastar TG800G, 8 Port GSM Gateway","12,916.00"
YR-TG1600G,"Yeastar TG1600, 16 Port GSM Gateway","Yeastar TG1600, 16 Port GSM Gateway","22,961.00"
YR-TA100,"Yeastar TA100, 1 Port FXS Gateway","Yeastar TA100, 1 Port FXS Gateway",478
YR-TA200,"Yeastar TA200, 2 Port FXS Gateway","Yeastar TA200, 2 Port FXS Gateway",622
YR-TA400,"Yeastar TA400, 4 Port FXS Gateway","Yeastar TA400, 4 Port FXS Gateway","1,695.00"
YR-TA800,"Yeastar TA800, 8 Port FXS Gateway","Yeastar TA800, 8 Port FXS Gateway","2,495.00"
YR-TA1600,"Yeastar TA1600, 16 Port FXS Gateway","Yeastar TA1600, 16 Port FXS Gateway","5,695.00"
YR-TA2400,"Yeastar TA2400, 24 Port FXS Gateway","Yeastar TA2400, 24 Port FXS Gateway","7,582.00"
YR-TA3200,"Yeastar TA3200, 32 Port FXS Gateway","Yeastar TA3200, 32 Port FXS Gateway","9,256.00"
YR-TA410,"Yeastar TA410, 4 Port FXO Gateway","Yeastar TA410, 4 Port FXO Gateway","2,535.00"
YR-TA810,"Yeastar TA800, 8 Port FXO Gateway","Yeastar TA800, 8 Port FXO Gateway","3,946.00"
YR-TA1610,"Yeastar TA1610, 16 Port FXO Gateway","Yeastar TA1610, 16 Port FXO Gateway","8,300.00"
YR-TE100,"Yeastar TE100, 1 Port PRI Gateway,  E1/T1/J1","Yeastar TE100, 1 Port PRI Gateway,  E1/T1/J1","8,371.00"
YR-TE200,"Yeastar TE200, 2 Port PRI Gateway,  E1/T1/J1","Yeastar TE200, 2 Port PRI Gateway,  E1/T1/J1","13,872.00"
YR-TB200,"Yeastar TB200, 2 Port BRI Gateway","Yeastar TB200, 2 Port BRI Gateway","3,564.00"
YR-TB400,"Yeastar TB400, 4 Port BRI Gateway","Yeastar TB400, 4 Port BRI Gateway","4,995.00"
YR-O2,"Yeastar O2 Module, 2 FXO Ports","Yeastar O2 Module, 2 FXO Ports",695
YR-S2,"Yeastar S2 Module, 2 FXS Ports","Yeastar S2 Module, 2 FXS Ports",695
YR-LTE E,Yeastar LTE Module with 2 antenna,Yeastar LTE Module with 2 antenna,"3,588.00"
YR-SO,"Yeastar SO Module, 1 FXS and 1 FXO","Yeastar SO Module, 1 FXS and 1 FXO",933
YR-GSM,Yeastar GSM Module with antenna,Yeastar GSM Module with antenna,"1,695.00"
YR-B2,"Yeastar B2 Module, 2 BRI Ports","Yeastar B2 Module, 2 BRI Ports","1,850.00"
YR-D30,Yeastar D30 Performance Card S100/300,Yeastar D30 Performance Card S100/300,"2,695.00"
YR-EX08,Yeastar EX08 Expansion Card S100/300,Yeastar EX08 Expansion Card S100/300,725
YR-EX30,Yeastar EX30 PRI Card S100/S300,Yeastar EX30 PRI Card S100/S300,"5,995.00"
YR-LCS S20,Linkus Clous Service - S20,Linkus Clous Service - S20,"1,452.00"
YR-LCS S50,Linkus Clous Service - S50,Linkus Clous Service - S50,"2,479.00"
YR-LCS S100,Linkus Clous Service - S100,Linkus Clous Service - S100,"4,385.00"
YR-LCS S300,Linkus Clous Service - S300,Linkus Clous Service - S300,"7,319.00"
YR-LCS S412,Linkus Clous Service - S412,Linkus Clous Service - S412,"1,452.00"
YR-LCS K2,Linkus Clous Service - K2,Linkus Clous Service - K2,"19,052.00"
YR-Billing S20,Yeastar Billing Application License - S20,Yeastar Billing Application License - S20,677
YR-Billing S50,Yeastar Billing Application License - S50,Yeastar Billing Application License - S50,"1,128.00"
YR-Billing S100,Yeastar Billing Application License - S100,Yeastar Billing Application License - S100,"2,256.00"
YR-Billing S300,Yeastar Billing Application License - S300,Yeastar Billing Application License - S300,"4,513.00"
YR-Billing S412,Yeastar Billing Application License - S412,Yeastar Billing Application License - S412,677
YR-Char S20,Yeastar Char Integration License - S20 ,Yeastar Char Integration License - S20 ,677
YR-Char S50,Yeastar Char Integration License - S50 ,Yeastar Char Integration License - S50 ,"1,128.00"
YR-Char S100,Yeastar Char Integration License - S100 ,Yeastar Char Integration License - S100 ,"2,256.00"
YR-Char S300,Yeastar Char Integration License - S300 ,Yeastar Char Integration License - S300 ,"4,513.00"
YR-Char S412,Yeastar Char Integration License - S412 ,Yeastar Char Integration License - S412 ,677
YR-Hotel S20,Yeastar Hotel Application License - S20,Yeastar Hotel Application License - S20,"1,128.00"
YR-Hotel S50,Yeastar Hotel Application License - S50,Yeastar Hotel Application License - S50,"3,385.00"
YR-Hotel S100,Yeastar Hotel Application License - S100,Yeastar Hotel Application License - S100,"4,513.00"
YR-Hotel S300,Yeastar Hotel Application License - S300,Yeastar Hotel Application License - S300,"6,769.00"
YR-Hotel S412,Yeastar Hotel Application License - S412,Yeastar Hotel Application License - S412,"1,128.00"
YR-RMS10,Yeastar Remote Management Base License - Annual 10 PBX,Yeastar Remote Management Base License - Annual 10 PBX,"2,369.00"
YR-RMSD,Yeastar Remote Management License - Once-off 1 PBX,Yeastar Remote Management License - Once-off 1 PBX,395
YR-LEVEL 1 ONLINE,Yeastar Level 1 Technical Training Online Only,Yeastar Level 1 Technical Training Online Only,550
YR-LEVEL 1 TRAINING,Yeastar Level 1 Technical Training,Yeastar Level 1 Technical Training,"1,350.00"
YR-LEVEL 2 TRAINING,Yeastar Level 2 Technical Training,Yeastar Level 2 Technical Training,"1,650.00"
