Qnty,Manufacturer,Stock Code,Title,Long Description,Short Description,Wholesale Price,Selling Price excl,Category,In Stock Text,Supplier,Tax ID
47,UNBRANDED,6010026,AUDIO 3.5MM 4 SEG (F) – 2 X (M),AUDIO 3.5MM 4 SEG (F) – 2 X (M),AUDIO 3.5MM 4 SEG (F) – 2 X (M),9,10.8,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
1,KONICA MINOLTA,1710567-002,PAGEPRO 1300W TONER (6000 PRINTS),PAGEPRO 1300W TONER (6000 PRINTS),PAGEPRO 1300W TONER (6000 PRINTS),1059,1270.8,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
1,CANON,3009C002AA,CANON 057 BLACK TONER CARTRIDGE,CANON 057 BLACK TONER CARTRIDGE,CANON 057 BLACK TONER CARTRIDGE,1879,2254.8,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
5,CANON,3014C002AA,CANON 055 MAGENTA TONER CARTRIDGE,CANON 055 MAGENTA TONER CARTRIDGE,CANON 055 MAGENTA TONER CARTRIDGE,1655,1986,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
5,CANON,3015C002AA,CANON 055 CYAN TONER CARTRIDGE,CANON 055 CYAN TONER CARTRIDGE,CANON 055 CYAN TONER CARTRIDGE,1655,1986,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
3,CANON,3016C002AA,CANON 055 BLACK TONER CARTRIDGE,CANON 055 BLACK TONER CARTRIDGE,CANON 055 BLACK TONER CARTRIDGE,1377,1652.4,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
13,CANON,3109018AA,CANON INK - TS704 COLOUR A4,CANON INK - TS704 COLOUR A5,CANON INK - TS704 COLOUR A6,1032,1238.4,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
1,CANON,3114C032AA,CANON INK - G7040 COLOUR A4 (4-IN-1),CANON INK - G7040 COLOUR A4 (4-IN-1),CANON INK - G7040 COLOUR A4 (4-IN-1),5146,6175.2,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
1,CANON,3516C008AA,CANON LASER - LBP223DW PRINTER,CANON LASER - LBP223DW PRINTER,CANON LASER - LBP223DW PRINTER,2492,2990.4,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
5,CANON,3710C001AA,CANON PG-460 XL BLACK INK TANK,CANON PG-460 XL BLACK INK TANK,CANON PG-460 XL BLACK INK TANK,432,518.4,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
4,CANON,3711C001AA,CANON PG-460 BLACK INK TANK,CANON PG-460 BLACK INK TANK,CANON PG-460 BLACK INK TANK,310,372,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
1,CANON,3711C004AA,CANON PG-460/461 MULTIPACK,CANON PG-460/461 MULTIPACK,CANON PG-460/461 MULTIPACK,541,649.2,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
6,CANON,3728C001AA,CANON CL-461 XL COLOUR INK TANK,CANON CL-461 XL COLOUR INK TANK,CANON CL-461 XL COLOUR INK TANK,353,423.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
4,CANON,3729C001AA,CANON CL-461 COLOUR INK TANK,CANON CL-461 COLOUR INK TANK,CANON CL-461 COLOUR INK TANK,0,0,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
9,CANON,3771C007AA,CANON MULTIPASS PIXMA TS3340 (3-IN-1),CANON MULTIPASS PIXMA TS3340 (3-IN-1),CANON MULTIPASS PIXMA TS3340 (3-IN-1),585,702,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
1,CANON,3775C12A,CANON MULTIPASS PIXMA TS8340,CANON MULTIPASS PIXMA TS8341,CANON MULTIPASS PIXMA TS8342,1808,2169.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
14,CANON,3879C005AA,CANON ZOE MINI S PHOTO PRINTER BLK,CANON ZOE MINI S PHOTO PRINTER BLK,CANON ZOE MINI S PHOTO PRINTER BLK,1573,1887.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
15,CANON,3879C006AA,CANON ZOE MINI S PHOTO PRINTER WHT,CANON ZOE MINI S PHOTO PRINTER WHT,CANON ZOE MINI S PHOTO PRINTER WHT,1573,1887.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
13,CANON,3879C007AA,CANON ZOE MINI S PHOTO PRINTER R/GOLD,CANON ZOE MINI S PHOTO PRINTER R/GOLD,CANON ZOE MINI S PHOTO PRINTER R/GOLD,1573,1887.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
14,CANON,4557B005AA,CANON CLI-426 MULTIPACK C/M/Y,CANON CLI-426 MULTIPACK C/M/Y,CANON CLI-426 MULTIPACK C/M/Y,577,692.4,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
7,CANON,5730B002AB,CANON SCIENTIFIC - F 715SG WHT *,CANON SCIENTIFIC - F 715SG WHT *,CANON SCIENTIFIC - F 715SG WHT *,55,66,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
9,FELLOWES,58021,"FELLOWES MOUSEPAD, PREMIUM BLUE","FELLOWES MOUSEPAD, PREMIUM BLUE","FELLOWES MOUSEPAD, PREMIUM BLUE",38,45.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
9,FELLOWES,58023,"FELLOWES MOUSEPAD, PREMIUM SILVER","FELLOWES MOUSEPAD, PREMIUM SILVER","FELLOWES MOUSEPAD, PREMIUM SILVER",38,45.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
9,HTC,99H20269-00,"VIVE GASKET, NARROW FACE","VIVE GASKET, NARROW FACE","VIVE GASKET, NARROW FACE",448,537.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
3,TENDA,A301,"TENDA EXTENDER, 300MBPS WIFI REPEATER","TENDA EXTENDER, 300MBPS WIFI REPEATER","TENDA EXTENDER, 300MBPS WIFI REPEATER",218,261.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
3,ADATA,AC008-16G-RWE,ADATA USB 2.0 RETRACTABLE 16GB WHT/BLU,ADATA USB 2.0 RETRACTABLE 16GB WHT/BLU,ADATA USB 2.0 RETRACTABLE 16GB WHT/BLU,46,55.2,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
15,TENDA,AC10,"TENDA ROUTER, AC1200 SMART GIGABIT WI-FI","TENDA ROUTER, AC1200 SMART GIGABIT WI-FI","TENDA ROUTER, AC1200 SMART GIGABIT WI-FI",588,705.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
35,TENDA,AC6,"TENDA ROUTER, AC1200 SMART DB WLESS","TENDA ROUTER, AC1200 SMART DB WLESS","TENDA ROUTER, AC1200 SMART DB WLESS",475,570,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
20,ADATA,AC906-16G-RBK,ADATA USB 2.0 COMPACT 16GB BLK,ADATA USB 2.0 COMPACT 16GB BLK,ADATA USB 2.0 COMPACT 16GB BLK,48,57.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
8,CAMELION,ACC093,CAMELION BC-0678 BATTERY CHARGER,CAMELION BC-0678 BATTERY CHARGER,CAMELION BC-0678 BATTERY CHARGER,188,225.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
1,GENISAT,ACC106,GENISAT 0074 2 PORT SERIAL ATA PCI CARD,GENISAT 0074 2 PORT SERIAL ATA PCI CARD,GENISAT 0074 2 PORT SERIAL ATA PCI CARD,148,177.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
4,GENISAT,ACC188,"GENISAT 2.5"" IDE MOBILE RACK ENCLOSURE","GENISAT 2.5"" IDE MOBILE RACK ENCLOSURE","GENISAT 2.5"" IDE MOBILE RACK ENCLOSURE",268,321.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
14,ADATA,AD4S2666716G19-SGN,16GB ADATA SO-DIMM DDR4 PC-2666 2048X8,16GB ADATA SO-DIMM DDR4 PC-2666 2048X9,16GB ADATA SO-DIMM DDR4 PC-2666 2048X10,938,1125.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
12,ADATA,AFALCON-2T-C,ADATA FALCON NVME M.2 SSD 2TB SSD,ADATA FALCON NVME M.2 SSD 2TB SSD,ADATA FALCON NVME M.2 SSD 2TB SSD,3799,4558.8,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
10,TENDA,AP5,"TENDA AP, 300MBPS WIRELESS DESKTOP","TENDA AP, 300MBPS WIRELESS DESKTOP","TENDA AP, 300MBPS WIRELESS DESKTOP",337,404.4,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
3,OKION,BGN24OLI,"OKION BAG, LITOZ OLIVE NOTEBOOK CASE","OKION BAG, LITOZ OLIVE NOTEBOOK CASE","OKION BAG, LITOZ OLIVE NOTEBOOK CASE",148,177.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
18,OKION,BGN37YEL,"OKION BAG, ROSAN 15.4"" NOTEBOOK CASE, GO","OKION BAG, ROSAN 15.4"" NOTEBOOK CASE, GO","OKION BAG, ROSAN 15.4"" NOTEBOOK CASE, GO",237,284.4,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
7,OKION,BM2,"OKION BAG, PUREMAX NOTEBOOK MESSENGER BA","OKION BAG, PUREMAX NOTEBOOK MESSENGER BA","OKION BAG, PUREMAX NOTEBOOK MESSENGER BA",155,186,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
15,OKION,BP41_BLK,"OKION BAG, ALBERTA SPORT 15.4"" BLK B/P","OKION BAG, ALBERTA SPORT 15.4"" BLK B/P","OKION BAG, ALBERTA SPORT 15.4"" BLK B/P",288,345.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
18,INTEL,BX80684G5420,INTEL COFFEE G5420 PENT 3.50GHZ LGA1151,INTEL COFFEE G5420 PENT 3.50GHZ LGA1152,INTEL COFFEE G5420 PENT 3.50GHZ LGA1153,1044,1252.8,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
5,INTEL,BX8070110100,INTEL COMETLAKE-S I3-10100 3.6GH LGA1200,INTEL COMETLAKE-S I3-10100 3.6GH LGA1201,INTEL COMETLAKE-S I3-10100 3.6GH LGA1202,2307,2768.4,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
7,INTEL,BX8070110400,INTEL COMETLAKE-S I5-10400 2.9GH LGA1200,INTEL COMETLAKE-S I5-10400 2.9GH LGA1201,INTEL COMETLAKE-S I5-10400 2.9GH LGA1202,3462,4154.4,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
5,INTEL,BX8070110400F,INTEL COMETLAKE-S I5-10400F 2.9G LGA1200,INTEL COMETLAKE-S I5-10400F 2.9G LGA1201,INTEL COMETLAKE-S I5-10400F 2.9G LGA1202,3019,3622.8,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
4,INTEL,BX8070110700,INTEL COMETLAKE-S I7-10700 4.8GH LGA1200,INTEL COMETLAKE-S I7-10700 4.8GH LGA1201,INTEL COMETLAKE-S I7-10700 4.8GH LGA1202,6412,7694.4,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
8,THERMALTAKE,CA-1P1-00M1WN-00,"TT CASE, COMMANDER G31 TG ARGB","TT CASE, COMMANDER G31 TG ARGB","TT CASE, COMMANDER G31 TG ARGB",1448,1737.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
7,THERMALTAKE,CA-1P2-00M1WN-00,"TT CASE, COMMANDER G32 TG ARGB","TT CASE, COMMANDER G32 TG ARGB","TT CASE, COMMANDER G32 TG ARGB",1448,1737.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
3,THERMALTAKE,CA-1P3-00M1WN-00,"TT CASE, COMMANDER G33 TG ARGB","TT CASE, COMMANDER G33 TG ARGB","TT CASE, COMMANDER G33 TG ARGB",1448,1737.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
6,THERMALTAKE,CA-1P4-00M1WN-00,"TT CASE, H550 TG ARGB","TT CASE, H550 TG ARGB","TT CASE, H550 TG ARGB",1648,1977.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
2,THERMALTAKE,CA-1P6-00F1WN-00,"TT CASE, LEVEL 20 HT ARGB","TT CASE, LEVEL 20 HT ARGB","TT CASE, LEVEL 20 HT ARGB",2989,3586.8,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
4,THERMALTAKE,CA-1P6-00F6WN-00,"TT CASE, LEVEL 20 HT SNOW ARGB","TT CASE, LEVEL 20 HT SNOW ARGB","TT CASE, LEVEL 20 HT SNOW ARGB",2989,3586.8,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
4,THERMALTAKE,CA-1P8-00M1WN-00,"TT CASE, LEVEL 20 RS ARGB","TT CASE, LEVEL 20 RS ARGB","TT CASE, LEVEL 20 RS ARGB",2388,2865.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
1,UNBRANDED,CAB015,CONNECTOR - RJ45 CAT5 CONNECTOR,CONNECTOR - RJ45 CAT5 CONNECTOR,CONNECTOR - RJ45 CAT5 CONNECTOR,1,1.2,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
